NSC,Log10HiConc,ConcUnit,Flag,Log10IC50,NumExp,StdDev                           
5111,-3.7,M,=,-3.81,1,0                                                         
5112,-3.7,M,>,-3.7,2,0                                                          
5113,-3.7,M,=,-4.4,2,.01                                                        
5157,-3.7,M,=,-4.08,1,0                                                         
5196,-3.7,M,=,-4.49,2,.02                                                       
5220,-3.7,M,>,-3.7,2,0                                                          
5226,-3.7,M,>,-3.7,4,0                                                          
5239,-3.7,M,=,-4.94,2,.34                                                       
5268,-3.7,M,>,-3.7,2,0                                                          
5302,-2.9,M,=,-3.78,2,.01                                                       
5331,-4.5,M,>,-4.54,2,0                                                         
5343,-3.7,M,=,-4.73,2,.06                                                       
5346,-3.7,M,>,-3.7,2,0                                                          
5366,-3.7,M,=,-4.61,2,.24                                                       
5426,-3.7,M,=,-4.4,2,.03                                                        
5428,-4,M,>,-4,4,0                                                              
5467,-3.7,M,>,-3.7,2,0                                                          
5495,-3.4,M,=,-5.7,1,0                                                          
5547,-3.7,M,=,-4.01,2,.02                                                       
5548,-3.7,M,>,-3.7,2,0                                                          
5553,-3.7,M,=,-3.83,1,0                                                         
5640,-3.7,M,>,-3.73,2,0                                                         
5648,-3.7,M,=,-6.01,2,.01                                                       
5654,-3.7,M,=,-3.95,2,.01                                                       
5729,-3.1,M,>,-3.14,1,0                                                         
5731,-2.9,M,=,-4.23,1,0                                                         
5738,-3.7,M,=,-4.76,2,.08                                                       
5765,-3.7,M,=,-5.28,2,.12                                                       
5768,-3.9,M,>,-3.9,2,0                                                          
5769,-3.5,M,=,-3.78,2,.03                                                       
5770,-3.5,M,=,-3.75,2,.05                                                       
5771,-3.2,M,=,-3.51,2,.03                                                       
5774,-4.8,M,>,-4.82,2,0                                                         
5820,-3,M,=,-3.54,4,.08                                                         
5866,-3.7,M,>,-3.7,2,0                                                          
5870,-3.4,M,=,-3.76,2,.08                                                       
5884,-3.7,M,=,-4.28,3,.28                                                       
5889,-5,M,>,-4.98,2,0                                                           
5890,-4.4,M,=,-4.94,2,.4                                                        
5900,-5.5,M,>,-5.49,2,0                                                         
5947,-2.8,M,>,-2.84,2,0                                                         
5995,-3.7,M,>,-3.7,4,0                                                          
6068,-3.7,M,>,-3.7,2,0                                                          
6129,-5.5,M,>,-5.46,2,0                                                         
6137,-3.7,M,>,-3.7,2,0                                                          
6178,-3.7,M,>,-3.7,2,0                                                          
6292,-3.7,M,=,-5.48,1,0                                                         
6303,-3.2,M,=,-3.97,2,.01                                                       
6354,-3.7,M,=,-4.25,2,.09                                                       
6354,-3.5,M,=,-4.1,2,.3                                                         
6365,-3.7,M,>,-3.7,2,0                                                          
6386,-3.7,M,=,-4.03,2,.08                                                       
6396,-2.9,M,=,-5.5,2,.07                                                        
6470,-3.7,M,=,-3.92,2,.02                                                       
6646,-3.7,M,>,-3.7,2,0                                                          
6738,-3.7,M,>,-3.7,2,0                                                          
6740,-3.7,M,=,-3.98,1,0                                                         
